,Id,PostId,CreationDate,Score,Text,UserId
0,3,9.0,2010-07-20T19:26:09.357,8.0,"I like this so far, but maybe add a bit on uncountable to distinguish the difference.",16.0
1,5,17.0,2010-07-20T19:27:07.983,1.0,"Oh, I figured as so. I remember learning about this a while ago with the graph as presentation. Thanks.",40.0
2,8,17.0,2010-07-20T19:28:16.077,1.0,It is much better than an approximation: it gives the exact value for all $n$,55.0
3,10,20.0,2010-07-20T19:29:17.900,3.0,"You've missed out many types of number: complex numbers, imaginary numbers, integers, rationals, hyper-reals, quaternions, etc.

Good question though :)",35.0
4,11,17.0,2010-07-20T19:32:12.010,1.0,"I see. That's the problem I notice in equations I was looking at before, the approximation kills the ""closeness"" to the number as the variable gets larger. I essentially see this as the solution, too bad I have to wait 7 minutes to accept yours as the answer.

But, cheers, thanks.",40.0
5,13,42.0,2010-07-20T19:36:22.330,1.0,As good an answer as any. It works that way because that's how the operation is defined :),35.0
6,14,18.0,2010-07-20T19:37:22.450,1.0,Define 'flattening factor' please.,56.0
7,15,35.0,2010-07-20T19:37:46.820,2.0,"A really good book on the subject was written by David Wallace Foster, [Everything and More: A Compact History of Infinity](http://www.amazon.co.uk/Everything-More-Compact-History-Infinity/dp/0753818825/ref=ntt_at_ep_dpt_10)",49.0
8,16,40.0,2010-07-20T19:38:37.830,4.0,"Your definitions of rationals, irrationals, and reals are interdependent, of course. You're relying on the intuitive understanding of reals it seems, which is fair enough at this level...",56.0
9,18,20.0,2010-07-20T19:40:13.363,0.0,I'm not sure what the tags are for this,54.0
10,19,40.0,2010-07-20T19:40:56.577,0.0,"I know, I'm having trouble coming up with a zero-interdependency definition.",38.0
11,20,17.0,2010-07-20T19:41:44.767,7.0,"By the way, if you want an approximation, you can neglect the second term, because $|1-\varphi|<1$, and get $F(n)={\varphi^n \over {\sqrt 5}}$ ; actually if you round that to the next integer you get the correct value.",55.0
12,22,40.0,2010-07-20T19:42:52.813,10.0,Some definitions of natural numbers include 0.,72.0
13,23,59.0,2010-07-20T19:44:58.843,10.0,There is no angle between two points...  Do you mean the angle between the points at the origin?  Maybe?,38.0
14,24,18.0,2010-07-20T19:47:42.350,0.0,"""versine of the spheroid's angular eccentricity""",17.0
15,25,51.0,2010-07-20T19:48:09.820,4.0,"I'm guessing that most fence posts are at the edge of a field, which makes this a far more interesting problem.",49.0
16,26,3.0,2010-07-20T19:48:34.017,1.0,"Should be community wiki, since it's asking for a sorted list of resources?",28.0
17,27,63.0,2010-07-20T19:49:03.297,1.0,"The actual process of using Benford's Law consists of checking the distribution of the numbers, if the numbers are tampered with they show a diffferent distribution. People inventing numbers do this in a biased way, different from how numbers show up in real life.",77.0
18,28,40.0,2010-07-20T19:49:49.287,1.0,"@John: I don't think it's possible unless you construct the reals analytically, and that's fairly involved/beyond the level of the question. So yeah, don't blame you at all!",56.0
19,30,59.0,2010-07-20T19:50:02.110,0.0,"Regarding the 3d space problem, you will basically need to measure the angle in spherical co-ordinates, so two angles. This is after adding in the twin requirements of an origin point and origin vector to measure angle from (as alluded to in the previous comment)",35.0
20,31,51.0,2010-07-20T19:51:10.110,0.0,@FordBuchanan: Correct. I've updated the question to (hopefully) make that clear. Sorry for the confusion!,59.0
21,33,42.0,2010-07-20T19:54:58.820,3.0,this is exactly the approach that I specified would not be helpful in my question =/,51.0
22,34,66.0,2010-07-20T19:55:10.427,0.0,"I'm so sorry about that! I changed the formatting, it's a lot easier to read now! 

Antisymmetric is treated by my book as, ""Points to, but cannot point back. There may be reflexive loops.""

Asymmetric is the same, except there are no reflexive loops. 

As you can see, these kinds of explanations are meaningless for me. Yours seems to have some tangent property I can understand! +1",44.0
23,37,42.0,2010-07-20T19:56:42.483,0.0,"You did not specify that any approach wouldn't be helpful in your question. Read and learn, please. Also, it's generally not good etiquette to down-vote answers to your own questions.",56.0
24,38,59.0,2010-07-20T19:57:45.990,0.0,"Yes, it's safe to assume a given origin (0,0).",24.0
