,Id,Reputation,CreationDate,DisplayName,Views,UpVotes,DownVotes,AccountId
0,-1,1,2010-07-20T14:51:15.677,Community,13302,179831,152111,-1.0
1,2,101,2010-07-20T15:33:13.347,Geoff Dalgas,505,7,0,2.0
2,3,512,2010-07-20T16:03:31.233,balpha,663,26,1,40051.0
3,4,101,2010-07-20T17:01:31.377,David Fullerton,222,6,0,32917.0
4,5,701,2010-07-20T17:05:37.000,Jin,337,38,1,21721.0
5,6,329,2010-07-20T18:16:14.173,Jason Punyon,509,6,0,4188.0
6,7,101,2010-07-20T19:02:26.637,Emmett,167,16,0,1998.0
7,8,9445,2010-07-20T19:02:36.577,Noah Snyder,2979,500,44,501919.0
8,9,18051,2010-07-20T19:03:30.537,Eric O. Korman,3735,748,9,171032.0
9,10,1987,2010-07-20T19:03:49.270,Allain Lalonde,425,25,0,1781.0
10,11,966,2010-07-20T19:03:51.300,sepp2k,153,156,0,50123.0
11,12,1089,2010-07-20T19:03:52.720,Don De Tina,279,68,1,151682.0
12,13,191,2010-07-20T19:03:53.157,TJ Ellis,65,11,0,131085.0
13,14,251,2010-07-20T19:04:04.340,Craig Stuntz,57,16,0,4957.0
14,15,101,2010-07-20T19:04:27.553,Martin Vseticka,28,15,0,35077.0
15,16,5397,2010-07-20T19:05:21.640,BBischof,2646,477,16,176975.0
16,17,228,2010-07-20T19:05:37.193,Rowland Shaw,58,5,1,20926.0
17,18,101,2010-07-20T19:06:02.743,Ruben Steins,22,3,0,7151.0
18,19,908,2010-07-20T19:06:33.633,Ami,162,122,1,120481.0
19,20,101,2010-07-20T19:07:03.583,Andrey Popp,21,0,0,61375.0
20,21,1,2010-07-20T19:07:04.943,Amy Glen,130,0,0,509456.0
21,22,139,2010-07-20T19:07:09.327,fbstj,41,48,2,85421.0
22,24,865,2010-07-20T19:07:58.247,David McGraw,149,4,0,442.0
23,25,5078,2010-07-20T19:09:19.663,François G. Dorais,1074,296,3,504953.0
24,26,1739,2010-07-20T19:09:40.130,Tomer Vromen,307,38,5,143033.0
25,27,101,2010-07-20T19:09:48.320,MojoFilter,11,2,0,77.0
26,28,231,2010-07-20T19:09:52.127,Scott Morrison,407,66,7,30420.0
27,29,119,2010-07-20T19:10:05.323,Tim,39,0,0,6405.0
28,30,2184,2010-07-20T19:11:53.463,Moor Xu,1215,529,0,174390.0
29,31,5341,2010-07-20T19:12:52.807,Simon Nickerson,689,121,6,3284.0
30,32,241,2010-07-20T19:12:54.617,Noel M,11,3,0,160574.0
31,33,7459,2010-07-20T19:13:29.857,Royi,1984,347,2,66802.0
